street_name,first_swept_at
10th Ct,2026-06-07
10th St,2026-06-07
11th St,2026-06-07
12th St,2026-06-07
14th St,2026-06-07
15th St,2026-06-07
16th St,2026-06-07
17th St,2026-06-07
18th St,2026-06-07
19th St,2026-06-07
20th St,2026-06-07
21st Pl,2026-06-07
21st St,2026-06-07
22nd St,2026-06-07
23rd St,2026-06-07
24th St,2026-06-07
25th St,2026-06-07
26th St,2026-06-07
27th St,2026-06-07
28th St,2026-06-07
29th St,2026-06-07
2nd St,2026-06-07
30th St,2026-06-07
31st St,2026-06-07
32nd St,2026-06-07
33rd St,2026-06-07
34th St,2026-06-07
3rd St,2026-06-07
4th St,2026-06-07
5th St,2026-06-07
6th St,2026-06-07
7th St,2026-06-07
9th St,2026-06-07
Adelaide Dr,2026-06-07
Adelaide Pl,2026-06-07
Alta Ave,2026-06-07
Appian Way,2026-06-07
Arcadia Ter,2026-06-07
Arizona Ave,2026-06-07
Ashland Ave,2026-06-07
Barnard Way,2026-06-07
Bay St,2026-06-07
Beach St,2026-06-07
Bentley Ct,2026-06-07
Berkeley St,2026-06-07
Beverley Ave,2026-06-07
Bicknell Ave,2026-06-07
Broadway,2026-06-07
Bryn Mawr Ave,2026-06-07
California Ave,2026-06-07
Carlyle Ave,2026-06-07
Cedar St,2026-06-07
Centinela Ave,2026-06-07
Chelsea Ave,2026-06-07
Chelsea Pl,2026-06-07
Cloverfield Blvd,2026-06-07
Colorado Ave,2026-06-07
Copeland Ct,2026-06-07
Delaware Ave,2026-06-07
Dewey St,2026-06-07
Dorchester Ave,2026-06-07
Ermont Pl,2026-06-07
Esparta Way,2026-06-07
Euclid St,2026-06-07
Exposition Blvd,2026-06-07
Foxtail Dr,2026-06-07
Frank St,2026-06-07
Franklin St,2026-06-07
Fraser Ave,2026-06-07
Frederick St,2026-06-07
Gale Pl,2026-06-07
Georgina Ave,2026-06-07
Glenn Ave,2026-06-07
Goldsmith St,2026-06-07
Grant St,2026-06-07
Hart Ave,2026-06-07
Harvard St,2026-06-07
High Pl,2026-06-07
Highland Ave,2026-06-07
Hill St,2026-06-07
Hollister Ave,2026-06-07
Idaho Ave,2026-06-07
Idaho St,2026-06-07
Kansas Ave,2026-06-07
Kensington Rd,2026-06-07
La Mesa Dr,2026-06-07
Larkin Pl,2026-06-07
Lincoln Blvd,2026-06-07
Linda Lane,2026-06-07
Longfellow St,2026-06-07
Main St,2026-06-07
Maple St,2026-06-07
Margaret Lane,2026-06-07
Marguerita Ave,2026-06-07
Marine St,2026-06-07
Marine Ter,2026-06-07
Michigan Ave,2026-06-07
Mills St,2026-06-07
Montana Ave,2026-06-07
Navy St,2026-06-07
Nebraska Ave,2026-06-07
Neilson Way,2026-06-07
Nordahl Rd,2026-06-07
Norman Pl,2026-06-07
Oak St,2026-06-07
Ocean Ave,2026-06-07
Ocean Front,2026-06-07
Ocean Park Blvd,2026-06-07
Ocean Way,2026-06-07
Olympic Blvd,2026-06-07
Ozone Ave,2026-06-07
Ozone St,2026-06-07
Pacific St,2026-06-07
Palisades Ave,2026-06-07
Palisades Beach Rd,2026-06-07
Palm Ct,2026-06-07
Paula Dr,2026-06-07
Pearl St,2026-06-07
Pennsylvania Ave,2026-06-07
Pico Blvd,2026-06-07
Pico Pl,2026-06-07
Pier Ave,2026-06-07
Pine St,2026-06-07
Princeton St,2026-06-07
Prospect Ave,2026-06-07
Raymond Ave,2026-06-07
Robson St,2026-06-07
San Vicente Blvd,2026-06-07
Santa Monica Blvd,2026-06-07
Santa Monica Mall,2026-06-07
Schader Dr,2026-06-07
Sea Colony Dr,2026-06-07
Sea View Ter,2026-06-07
Seaside Ter,2026-06-07
Southern Pacific Dr,2026-06-07
Stanford St,2026-06-07
Steiner Ave,2026-06-07
Stewart St,2026-06-07
Strand St,2026-06-07
Sunset Ave,2026-06-07
The Promenade,2026-06-07
Urban Ave,2026-06-07
Vicente Ter,2026-06-07
Virginia Ave,2026-06-07
Wadsworth Ave,2026-06-07
Warwick Ave,2026-06-07
Washington Ave,2026-06-07
